filename,name,rarity,tags,description,image_url
woodland_felt_baby_badger_mushroom.png,Mushroom Baby Badger,common,badger|woodland|mushroom|baby|foraging,A baby badger who found its very first mushroom and is enormously proud.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_badger_mushroom.png
woodland_felt_baby_bear_honey_jar.png,Honey Jar Baby Bear,common,bear|woodland|honey|baby|sweet,"A baby bear with its nose deep in a honey jar, blissfully unaware of the mess.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_bear_honey_jar.png
woodland_felt_baby_bear_honey_jar_standing.png,Standing Honey Baby Bear,common,bear|woodland|honey|standing|baby|sweet,"A baby bear standing with a honey jar, face already sticky with happiness.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_bear_honey_jar_standing.png
woodland_felt_baby_beaver_twig.png,Twig Baby Beaver,common,beaver|woodland|twig|baby|builder,"A baby beaver carrying a twig, already dreaming of the dam it will one day build.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_beaver_twig.png
woodland_felt_baby_chipmunk_seed.png,Seed Baby Chipmunk,common,chipmunk|woodland|seed|baby|autumn,A baby chipmunk carefully inspecting its very first seed with great seriousness.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_chipmunk_seed.png
woodland_felt_baby_chipmunk_seed_standing.png,Standing Seed Baby Chipmunk,common,chipmunk|woodland|seed|standing|baby|autumn,"A baby chipmunk standing with a seed, cheeks already planning where to store it.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_chipmunk_seed_standing.png
woodland_felt_baby_fawn_daisy.png,Daisy Baby Fawn,common,deer|fawn|woodland|daisy|baby|spring,"A newborn fawn with wobbly legs, holding a daisy bigger than its nose.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_fawn_daisy.png
woodland_felt_baby_fawn_daisy_standing.png,Standing Daisy Fawn,common,deer|fawn|woodland|daisy|standing|baby|spring,"A baby fawn standing with a daisy, still figuring out how all four legs work.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_fawn_daisy_standing.png
woodland_felt_baby_hare_carrot.png,Carrot Baby Hare,common,hare|woodland|carrot|baby|spring,A baby hare clutching a carrot nearly as tall as itself with both little paws.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_hare_carrot.png
woodland_felt_baby_hare_carrot_standing.png,Standing Carrot Baby Hare,common,hare|woodland|carrot|standing|baby|spring,"A baby hare standing with a carrot, ears perked and nose twitching with delight.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_hare_carrot_standing.png
woodland_felt_baby_hedgehog_leaf.png,Leaf Baby Hedgehog,common,hedgehog|woodland|leaf|baby|autumn,A baby hedgehog curled up inside a fallen leaf like the coziest little nest.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_hedgehog_leaf.png
woodland_felt_baby_hedgehog_leaf_standing.png,Standing Leaf Baby Hedgehog,common,hedgehog|woodland|leaf|standing|baby|autumn,"A baby hedgehog standing in a pile of leaves, poking its little nose out curiously.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_hedgehog_leaf_standing.png
woodland_felt_baby_moose_leaf.png,Leaf Baby Moose,common,moose|woodland|leaf|baby|autumn,A wobbly baby moose carrying a single autumn leaf like a very important flag.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_moose_leaf.png
woodland_felt_baby_moose_leaf_standing.png,Standing Leaf Baby Moose,common,moose|woodland|leaf|standing|baby|autumn,"A baby moose standing with a leaf, its long legs still getting used to the world.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_moose_leaf_standing.png
woodland_felt_baby_otter_pebble.png,Pebble Baby Otter,common,otter|woodland|pebble|baby|river,A baby otter clutching its favorite smooth pebble like a precious treasure.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_otter_pebble.png
woodland_felt_baby_otter_pebble_standing.png,Standing Pebble Baby Otter,common,otter|woodland|pebble|standing|baby|river,"A baby otter standing with its pebble, the most important pebble in the river.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_otter_pebble_standing.png
woodland_felt_baby_owl_moon.png,Moon Baby Owl,common,owl|woodland|moon|baby|night,"A fluffy baby owl gazing at a tiny moon, already in love with the night sky.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_owl_moon.png
woodland_felt_baby_owl_moon_standing.png,Standing Moon Baby Owl,common,owl|woodland|moon|standing|baby|night,"A baby owl standing with a moon charm, blinking slowly at the starry sky.",https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_owl_moon_standing.png
woodland_felt_baby_raccoon_acorn.png,Acorn Baby Raccoon,common,raccoon|woodland|acorn|baby|autumn,A baby raccoon clutching an acorn with both tiny masked paws.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_raccoon_acorn.png
woodland_felt_baby_raccoon_mask.png,Masked Baby Raccoon,common,raccoon|woodland|mask|baby|mischief,A baby raccoon already practicing its best mysterious masked expression.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_raccoon_mask.png
woodland_felt_baby_robin_worm.png,Worm Baby Robin,common,robin|woodland|bird|worm|baby|spring,A fluffy baby robin who caught its very first worm and could not be more proud.,https://vjfbzpliqialqmabfnxs.supabase.co/storage/v1/object/public/gamification-assets/woodland-felt/common/woodland_felt_baby_robin_worm.png
